Asset1,Asset2,Cointegration P-Value,Pearson,Spearman,Kendall,Hedge Ratio,Half-Life
CELRUSDT,KSMUSDT,0.0055150592651238,0.9369557649304294,0.9052908097299124,0.7529377489828204,0.0005088864788399,2.819172769566077
CKBUSDT,SAGAUSDT,0.0055538903666744,0.9017595967837776,0.914858853368716,0.7549394312366393,0.0048525780896225,7.222095093911708
HIGHUSDT,LISTAUSDT,0.005870876207119,0.9051889556145628,0.927902787871728,0.7718639611846874,2.4216290764100035,5.586303719357816
HOOKUSDT,AEVOUSDT,0.0059966593325838,0.9647992550070212,0.9444993762716164,0.8138520058650742,1.0163474754041208,4.664825143184612
API3USDT,PIXELUSDT,0.0062765581280317,0.9790194961384938,0.9705492213768856,0.8623639480982593,7.370702544994092,2.083556092779274
ICPUSDT,BEAMUSDT,0.0063652597687048,0.915850809896879,0.9057706702786,0.7364431548704304,265.4375147849171,5.507595422499866
ATOMUSDT,LRCUSDT,0.006486297535023,0.9662258178482134,0.9580555501148924,0.8287038972867334,30.830545664458185,5.832360221386677
EGLDUSDT,RLCUSDT,0.0065203520322036,0.9205153303282074,0.9241721605938584,0.7651689461369315,16.93912968087227,6.3371253488265005
CTSIUSDT,BRETTUSDT,0.0065857157940394,0.9236229536716992,0.9274408201504852,0.7794161228246205,0.6722003181669971,5.633102707376479
NKNUSDT,BEAMUSDT,0.0067896488236545,0.9226097076703575,0.909963326799073,0.7466312531863657,2.508853920339248,6.176328928937865
NEOUSDT,XTZUSDT,0.0067929409022789,0.9474623739622668,0.920056013271208,0.7754760315499861,8.852738567957307,2.603438884267876
OPUSDT,MINAUSDT,0.0068017017283676,0.9571611863083892,0.9287969856157948,0.7890900948952436,2.5575321879046315,4.229211978280679
LEVERUSDT,RDNTUSDT,0.0070756945738724,0.9079421833981868,0.9048029267943116,0.7368900233971486,0.015186831121943,6.159940320816669
LUNA2USDT,SNXUSDT,0.0072460246634729,0.946227554248282,0.9208532826405064,0.7728503047832669,0.1765693712712235,5.686550263554303
TOKENUSDT,COREUSDT,0.0072867342556679,0.9189148135621412,0.9241501722508968,0.7805494367190406,0.0526893419672472,3.764073589695177
MAGICUSDT,STRKUSDT,0.0072897311590677,0.951926275695888,0.936233807042282,0.7924650546075879,0.83141701355798,6.426746130939158
LUNCUSDT,BEAMUSDT,0.0074070293070951,0.9154162297058877,0.9090623431437264,0.7444120567837815,0.0029309169285117,6.366315436404056
EOSUSDT,COMPUSDT,0.0078796761589957,0.965714116107476,0.9611856703325284,0.8359018004935507,0.0103921312013294,3.2990068639861363
AXSUSDT,IOSTUSDT,0.0080788142904348,0.9622402779080694,0.9370436729259106,0.7956522469523198,862.7636746191135,3.5786601810972414
KNCUSDT,ICXUSDT,0.0082106556601883,0.9819827533329876,0.9715736680071888,0.8587361076349544,2.6356113222343645,3.526908178451402
HIGHUSDT,XAIUSDT,0.0091304920128959,0.927491857444893,0.9341542274117176,0.7900086557909903,3.360660213451471,7.042748487159482
AVAXUSDT,u1000PEPEUSDT,0.0096724057968642,0.9399670011552916,0.9356669007645092,0.784000000411218,1483.3411689813631,3.777064110552665
RLCUSDT,AIUSDT,0.0100276449048273,0.9419912798851496,0.9531826297572658,0.8142126065034028,2.5110281496168128,4.362593021629889
COMPUSDT,XVGUSDT,0.010080494370086,0.947748003076402,0.9557641196114642,0.8294105286952376,4463.763139465662,4.1397861449999
IOSTUSDT,ARBUSDT,0.0101427090109492,0.9481426907601148,0.9397247597493772,0.7944921436212681,0.0078052840125596,3.995059898190141
ASTRUSDT,VANRYUSDT,0.0104837167475994,0.930976936044023,0.9033502001851133,0.7403916242158914,0.3696506523322541,6.7706329210185805
METISUSDT,BRETTUSDT,0.0106262676791606,0.9274738123918744,0.917782504225016,0.7581716320750341,235.2678424908779,4.509843303811144
ARBUSDT,IOUSDT,0.0110786479065639,0.9190456010651402,0.95274910867282,0.8130700328738879,0.2019786454785805,6.352255024767435
LUNA2USDT,HFTUSDT,0.0118296650125743,0.9302557707351492,0.9009316046083572,0.7502309281746576,1.7868592511611332,6.95134712128836
DASHUSDT,COMPUSDT,0.0126571204995433,0.9638420875794044,0.9281017402775336,0.7800191272031053,0.438637587840736,3.130825113362567
BALUSDT,ARBUSDT,0.0126755291788718,0.9542444299280796,0.9364028426931856,0.788613288394752,2.7199712783682277,5.284031637433295
ALPHAUSDT,SNXUSDT,0.0141949652988861,0.9525630897595034,0.929279361748802,0.8160270166882135,0.0356059272941015,7.4626962568343105
BALUSDT,ETHFIUSDT,0.0148326712491692,0.908925181812912,0.9226573405102472,0.7649975692756441,0.8391165319902524,7.515009705264272
OGNUSDT,ARBUSDT,0.0151405126801249,0.9376626726814442,0.9058349618895508,0.747239881346841,0.1160403679461371,4.821097797499799
BALUSDT,LRCUSDT,0.0156766538455172,0.9246973997876752,0.926194256798904,0.7670264983484142,9.48509643748941,7.010827782906819
STRKUSDT,FOXYUSDT,0.0159754219142763,0.9089173601233806,0.9118793639555138,0.7549681754210869,33.0033792696252,6.896325394868876
BALUSDT,GRTUSDT,0.0168287137553959,0.93110239025734,0.9281508782268544,0.7648793532827594,9.404972919199931,6.286937945930222
ETCUSDT,u1000PEPEUSDT,0.0171737167547962,0.9162475619339466,0.9139362277249924,0.755757085416647,842.6183833257654,5.445413163097713
CHZUSDT,u1000SHIBUSDT,0.017417798753566,0.9077499869263232,0.9082773544928584,0.7568670655944737,3.4979556537159424,7.840127942616042
LUNA2USDT,CHRUSDT,0.0176401063586463,0.9088827188943278,0.9056817459746418,0.7628999716121408,1.629033967084509,6.525549207883977
FLMUSDT,MOVRUSDT,0.0180571058171271,0.9454112552715072,0.9519075381729278,0.8239343422928003,0.0047614248431656,4.444537701326046
OGNUSDT,PERPUSDT,0.0191389327763892,0.951127406491888,0.9291729460076807,0.7823863100786518,0.1217283614109292,4.384628074981613
DUSKUSDT,VANRYUSDT,0.0194478775290121,0.947181966718323,0.9205842601868228,0.765802387260938,1.4775379081845788,6.820106576041121
LINKUSDT,XVGUSDT,0.0199020248599288,0.9031473373463936,0.94668742069096,0.7962165155512767,1224.0299556036705,6.674383737258728
